(Number of Clickable Elements - Middle),Number of General  Elements,(Number of Clickable Elements - Bottom),(Number of Clickable Elements - Top),(Number of vertical swipeable Elements - Middle),is the activity contain a navigation drawer,(Number of Text Fields Elements - Middle),(Number of horizontal swipeable Elements - Middle),(Number of Text Fields Elements - Bottom),(Number of Text Fields Elements - Top),keywords
0,6,1,4,1,0,0,0,0,0,chat contacts ContactsHolder receive 
4,8,0,1,1,0,1,0,0,0,composing 
5,20,1,2,11,0,0,0,1,0,chat conversation 
5,6,0,1,0,0,0,0,0,0,chat conversation 
4,5,0,1,0,0,0,0,0,0,chat conversation 
5,6,0,1,0,0,0,0,0,0,chat conversation 
1,5,3,0,0,0,0,0,1,0,
0,4,3,0,0,0,0,0,1,0,
0,10,4,1,4,0,0,0,0,0,contacts groups 
0,8,3,3,1,0,0,0,1,0,chat conversation groups 
0,0,0,0,0,0,0,0,0,0,chat contacts receive 
4,12,2,3,1,0,0,0,1,0,
2,4,0,2,0,0,0,0,0,0,chat receive 
2,5,2,1,0,0,0,0,0,0,chat 
2,8,0,6,0,1,0,0,0,0,chat contacts groups 
2,8,0,6,0,1,0,0,0,0,chat contacts groups 
7,13,0,6,0,1,0,0,0,0,chat contacts groups 
9,17,2,6,0,1,0,0,0,0,chat contacts groups 
7,14,1,6,0,1,0,0,0,0,chat contacts groups 
5,13,2,6,0,1,0,0,0,0,chat contacts groups 
1,11,4,0,5,0,0,0,0,0,chat conversation contacts groups 
12,26,2,4,3,0,2,0,2,1,chat 
0,3,1,2,0,0,0,0,0,0,chat subject groups 
0,3,1,2,0,0,0,0,0,0,chat subject groups 
1,5,0,1,2,0,0,0,0,0,chat conversation contacts groups receive 
1,4,0,3,0,0,0,0,0,0,chat conversation contacts groups receive 
2,9,3,4,0,0,0,0,0,0,chat conversation contacts groups receive 
3,8,0,4,0,0,1,0,0,0,chat subject conversation 
3,6,0,1,0,0,2,0,0,0,chat 
1,5,0,3,1,0,0,0,0,0,chat receive 
1,5,0,4,0,0,0,0,0,0,chat receive 
0,1,0,1,0,0,0,0,0,0,chat receive 
0,5,2,2,0,0,0,0,1,0,conversation 
0,3,1,2,0,0,0,0,0,0,
11,16,0,2,2,0,0,0,0,0,conversation 
0,11,2,3,4,0,0,0,0,0,chat contacts 
0,4,0,3,0,0,0,0,0,0,
2,4,0,2,0,0,0,0,0,0,contacts receive 
0,7,2,3,1,0,0,0,1,0,chat 
0,7,2,3,1,0,0,0,1,0,chat 
0,5,2,2,0,0,0,0,1,0,
0,14,0,2,12,0,0,0,0,0,
2,8,2,2,1,1,0,0,1,0,chat 
1,3,0,2,0,0,0,0,0,0,conversation 
0,3,0,2,0,1,0,0,0,0,chat subject groups 
0,2,0,1,0,1,0,0,0,0,chat subject groups 
1,2,0,1,0,1,0,0,0,0,chat groups 
1,3,0,2,0,1,0,0,0,0,chat groups 
7,18,2,1,6,0,0,0,1,0,conversation 
6,18,2,2,6,0,0,0,1,0,conversation 
2,8,2,1,2,0,0,0,1,0,chat conversation 
1,6,2,1,1,0,0,0,1,0,chat conversation 
4,12,2,1,4,0,0,0,1,0,chat conversation 
11,19,1,5,0,0,1,0,0,0,chat 
1,6,0,0,0,0,0,0,0,0,chat contacts 
11,15,1,3,0,1,0,0,0,0,chat groups 
3,8,0,4,0,0,1,0,0,0,subject conversation 
0,8,4,4,0,0,0,0,0,0,contacts groups 
0,2,2,0,0,0,0,0,0,0,chat contacts groups 
0,2,1,1,0,0,0,0,0,0,chat contacts 
5,6,0,1,0,0,0,0,0,0,chat conversation 
10,26,0,15,1,1,0,0,0,0,chat conversation contacts 
4,5,1,0,0,0,0,0,0,0,chat 
0,8,0,1,6,0,0,0,0,0,chat receive 
1,4,1,2,0,1,0,0,0,0,
1,2,0,0,0,0,0,0,0,0,
0,3,1,2,0,0,0,0,0,0,
0,1,1,0,0,0,0,0,0,0,chat contacts receive 
1,2,0,1,0,0,0,0,0,0,conversation 
0,7,2,4,0,0,0,0,1,0,subject conversation 
5,7,0,0,0,0,2,0,0,0,chat receive 
0,3,2,1,0,0,0,0,0,0,chat contacts 
1,9,3,4,0,0,0,0,1,0,subject conversation 
0,6,1,4,1,0,0,0,0,0,chat contacts ContactsHolder receive 
0,6,1,3,1,0,0,0,1,0,chat 
0,7,2,4,0,0,0,0,1,0,subject conversation contacts 
1,3,0,2,0,0,0,0,0,0,chat contacts 
0,3,1,1,0,0,0,0,1,0,
0,1,0,1,0,0,0,0,0,0,contacts receive 
0,5,3,2,0,0,0,0,0,0,chat conversation contacts 
0,6,3,3,0,0,0,0,0,0,contacts receive 
5,9,0,2,2,1,0,0,0,0,contacts receive 
7,9,0,2,0,1,0,0,0,0,contacts receive 
5,6,0,1,0,1,0,0,0,0,chat conversation contacts 
1,3,0,1,1,1,0,0,0,0,chat conversation contacts 
1,1,0,0,0,0,0,0,0,0,conversation 
0,5,3,2,0,0,0,0,0,0,chat 
0,4,0,4,0,0,0,0,0,0,chat groups 
5,14,1,2,4,0,1,0,0,0,
0,3,1,2,0,0,0,0,0,0,chat contacts 
1,4,1,2,0,1,0,0,0,0,chat contacts 
0,7,2,4,0,0,0,0,1,0,subject conversation 
0,1,0,1,0,0,0,0,0,0,contacts groups 
0,1,0,1,0,0,0,0,0,0,contacts groups 
1,8,5,2,0,0,0,0,0,0,chat contacts 
7,13,1,3,0,0,0,0,1,0,chat 
0,3,0,2,0,0,0,0,0,0,chat conversation 
5,9,1,2,0,0,0,0,1,0,chat 
3,7,0,4,0,0,0,0,0,0,chat conversation contacts 
2,4,0,2,0,0,0,0,0,0,chat conversation contacts 
0,2,0,2,0,0,0,0,0,0,
3,7,0,4,0,0,0,0,0,0,chat conversation contacts 
0,4,0,4,0,0,0,0,0,0,chat conversation contacts 
3,7,0,4,0,0,0,0,0,0,chat conversation contacts 
5,13,1,3,4,0,0,0,0,0,chat conversation contacts 
5,13,1,3,4,0,0,0,0,0,chat conversation contacts 
5,13,1,3,4,0,0,0,0,0,chat conversation contacts 
2,4,0,2,0,0,0,0,0,0,chat conversation contacts 
0,4,0,3,0,1,0,0,0,0,chat contacts 
0,10,8,1,0,0,0,0,0,0,chat 
8,10,0,1,0,0,1,0,0,0,chat receive 
0,1,0,1,0,0,0,0,0,0,chat receive 
0,4,3,0,0,0,0,0,1,0,chat 
1,1,0,0,0,0,0,0,0,0,chat conversation 
6,15,0,1,6,0,0,0,0,0,
3,5,0,2,0,1,0,0,0,0,conversation contacts 
0,4,2,1,0,0,0,0,1,0,conversation 
1,16,3,3,8,0,0,0,0,0,chat contacts groups 
1,3,2,0,0,0,0,0,0,0,chat contacts groups receive 
4,6,2,0,0,0,0,0,0,0,chat contacts groups 
0,9,0,2,6,0,0,0,0,0,chat contacts groups receive 
1,10,2,3,3,0,0,0,0,0,chat contacts groups receive 
2,6,0,1,2,0,0,0,0,0,chat receive 
0,6,1,3,0,0,0,0,1,0,chat receive 
2,6,0,1,2,0,0,0,0,0,chat receive 
7,24,1,6,7,0,1,0,0,0,
2,2,0,0,0,0,0,0,0,0,chat 
0,15,2,4,8,0,0,0,1,0,chat 
0,10,4,5,0,0,0,0,0,0,contacts groups 
3,6,0,0,0,0,1,0,0,0,chat 
3,6,0,0,0,0,1,0,0,0,chat 
0,3,1,0,0,0,0,0,1,0,chat 
1,3,0,1,0,0,1,0,0,0,
0,2,0,1,0,0,0,0,0,0,
0,1,0,1,0,0,0,0,0,0,
0,7,4,2,0,0,0,0,0,1,attachments 
1,13,0,10,2,0,0,0,0,0,conversation contacts 
2,8,0,0,0,0,4,0,0,2,chat contacts 
0,5,0,3,1,0,0,0,0,0,chat conversation 
3,8,2,1,2,0,0,0,0,0,chat 
3,6,0,1,1,0,0,0,0,0,chat conversation contacts groups 
7,14,0,4,2,1,0,0,0,0,groups attachments 
2,5,0,2,1,1,0,0,0,0,chat 
3,6,0,1,1,0,1,0,0,0,conversation 
8,14,1,5,0,1,0,0,0,0,chat conversation contacts 
6,11,0,3,1,1,1,0,0,0,chat conversation contacts 
5,14,0,3,5,1,1,0,0,0,chat conversation contacts 
5,14,0,3,5,1,1,0,0,0,chat conversation contacts 
1,5,1,3,0,1,0,0,0,0,chat conversation contacts 
3,6,0,2,0,0,1,0,0,0,subject conversation contacts 
